CallingFile,CallingLineNumber,CallingMethod,CurlCommand,RequestMethod,RequestPath,Timestamp
C:\GitHub\MarkHazleton\sandbox\GarageSpark\Services\ApiService.cs,36,GetWeatherAsync,"curl -H ""X-Correlation-ID: a2bd7eb2-dbb1-41f0-a293-a2d7305e13fa"" -H ""User-Agent: GarageSpark/1.0"" -H ""Accept: application/json"" -H ""Accept-Language: en-US"" ""https://api.openweathermap.org/data/2.5/weather?q=London&appid=demo&units=metric""",GET,https://api.openweathermap.org/data/2.5/weather?q=London&appid=demo&units=metric,07/12/2025 00:20:02
C:\GitHub\MarkHazleton\sandbox\GarageSpark\Services\ApiService.cs,36,GetWeatherAsync,"curl -H ""X-Correlation-ID: 7413fba7-6844-4a6c-8038-d98029ef4b4f"" -H ""User-Agent: GarageSpark/1.0"" -H ""Accept: application/json"" -H ""Accept-Language: en-US"" ""https://api.openweathermap.org/data/2.5/weather?q=London&appid=demo&units=metric""",GET,https://api.openweathermap.org/data/2.5/weather?q=London&appid=demo&units=metric,07/12/2025 00:20:06
C:\GitHub\MarkHazleton\sandbox\GarageSpark\Services\ApiService.cs,36,GetWeatherAsync,"curl -H ""X-Correlation-ID: 6d7e8573-a2a3-411f-8be7-b956ae695009"" -H ""User-Agent: GarageSpark/1.0"" -H ""Accept: application/json"" -H ""Accept-Language: en-US"" ""https://api.openweathermap.org/data/2.5/weather?q=London&appid=demo&units=metric""",GET,https://api.openweathermap.org/data/2.5/weather?q=London&appid=demo&units=metric,07/12/2025 00:20:11
C:\GitHub\MarkHazleton\sandbox\GarageSpark\Services\ApiService.cs,76,GetPostsAsync,"curl -H ""X-Correlation-ID: 46c01687-cd08-499b-baa8-845f43f99a72"" -H ""User-Agent: GarageSpark/1.0"" -H ""Accept: application/json"" -H ""Accept-Language: en-US"" ""https://jsonplaceholder.typicode.com/posts?_limit=5""",GET,https://jsonplaceholder.typicode.com/posts?_limit=5,07/12/2025 00:20:17
C:\GitHub\MarkHazleton\sandbox\GarageSpark\Services\ApiService.cs,76,GetPostsAsync,"curl -H ""X-Correlation-ID: 18bf52aa-a553-4761-b974-8157b9c6f02a"" -H ""User-Agent: GarageSpark/1.0"" -H ""Accept: application/json"" -H ""Accept-Language: en-US"" ""https://jsonplaceholder.typicode.com/posts?_limit=5""",GET,https://jsonplaceholder.typicode.com/posts?_limit=5,07/12/2025 00:20:19
/home/runner/work/WebSpark.Bootswatch/WebSpark.Bootswatch/WebSpark.Bootswatch/Provider/BootswatchStyleProvider.cs,70,GetSiteStylesAsync,"curl -H ""X-Correlation-ID: 070a6e5f-6374-40ab-8d47-d673f46b7ac5"" -H ""User-Agent: Mozilla/5.0"" -H ""Accept: application/json"" -H ""Accept-Language: en-US"" ""https://bootswatch.com/api/5.json""",GET,https://bootswatch.com/api/5.json,07/12/2025 00:25:02
/home/runner/work/WebSpark.Bootswatch/WebSpark.Bootswatch/WebSpark.Bootswatch/Provider/BootswatchStyleProvider.cs,70,GetSiteStylesAsync,"curl -H ""X-Correlation-ID: baa3d5fa-6dd6-4209-b2a5-1f5cd3ab93d8"" -H ""User-Agent: Mozilla/5.0"" -H ""Accept: application/json"" -H ""Accept-Language: en-US"" ""https://bootswatch.com/api/5.json""",GET,https://bootswatch.com/api/5.json,07/12/2025 13:29:30
/home/runner/work/WebSpark.Bootswatch/WebSpark.Bootswatch/WebSpark.Bootswatch/Provider/BootswatchStyleProvider.cs,70,GetSiteStylesAsync,"curl -H ""X-Correlation-ID: 7fe2eb04-b8bc-47f0-975b-7ae47f0b5b0e"" -H ""User-Agent: Mozilla/5.0"" -H ""Accept: application/json"" -H ""Accept-Language: en-US"" ""https://bootswatch.com/api/5.json""",GET,https://bootswatch.com/api/5.json,07/12/2025 13:36:58
C:\GitHub\MarkHazleton\sandbox\GarageSpark\Services\ApiService.cs,36,GetWeatherAsync,"curl -H ""X-Correlation-ID: 78a0536e-2873-41c9-be43-c05e22c69c9c"" -H ""User-Agent: GarageSpark/1.0"" -H ""Accept: application/json"" -H ""Accept-Language: en-US"" ""https://api.openweathermap.org/data/2.5/weather?q=London&appid=demo&units=metric""",GET,https://api.openweathermap.org/data/2.5/weather?q=London&appid=demo&units=metric,07/12/2025 13:37:06
C:\GitHub\MarkHazleton\sandbox\GarageSpark\Services\ApiService.cs,36,GetWeatherAsync,"curl -H ""X-Correlation-ID: abe83f8e-5e35-4d5b-8985-9724aaf61b26"" -H ""User-Agent: GarageSpark/1.0"" -H ""Accept: application/json"" -H ""Accept-Language: en-US"" ""https://api.openweathermap.org/data/2.5/weather?q=London&appid=demo&units=metric""",GET,https://api.openweathermap.org/data/2.5/weather?q=London&appid=demo&units=metric,07/12/2025 13:37:09
C:\GitHub\MarkHazleton\sandbox\GarageSpark\Services\ApiService.cs,76,GetPostsAsync,"curl -H ""X-Correlation-ID: 947762f1-7c8b-410f-81f7-bac085e3fa93"" -H ""User-Agent: GarageSpark/1.0"" -H ""Accept: application/json"" -H ""Accept-Language: en-US"" ""https://jsonplaceholder.typicode.com/posts?_limit=5""",GET,https://jsonplaceholder.typicode.com/posts?_limit=5,07/12/2025 13:37:10
C:\GitHub\MarkHazleton\sandbox\GarageSpark\Services\ApiService.cs,76,GetPostsAsync,"curl -H ""X-Correlation-ID: cfa775f9-8efc-4379-b669-bf863354d430"" -H ""User-Agent: GarageSpark/1.0"" -H ""Accept: application/json"" -H ""Accept-Language: en-US"" ""https://jsonplaceholder.typicode.com/posts?_limit=5""",GET,https://jsonplaceholder.typicode.com/posts?_limit=5,07/12/2025 13:37:24
/home/runner/work/WebSpark.Bootswatch/WebSpark.Bootswatch/WebSpark.Bootswatch/Provider/BootswatchStyleProvider.cs,70,GetSiteStylesAsync,"curl -H ""X-Correlation-ID: 536c9a4c-adbd-4ee3-ba07-88d436f94b15"" -H ""User-Agent: Mozilla/5.0"" -H ""Accept: application/json"" -H ""Accept-Language: en-US"" ""https://bootswatch.com/api/5.json""",GET,https://bootswatch.com/api/5.json,07/12/2025 14:34:32
C:\GitHub\MarkHazleton\sandbox\GarageSpark\Services\ApiService.cs,75,GetPostsAsync,"curl -H ""X-Correlation-ID: 7c61080f-dffd-41c9-8538-3e9a913292eb"" -H ""User-Agent: GarageSpark/1.0"" -H ""Accept: application/json"" -H ""Accept-Language: en-US"" ""https://jsonplaceholder.typicode.com/posts?_limit=5""",GET,https://jsonplaceholder.typicode.com/posts?_limit=5,07/12/2025 14:34:36
C:\GitHub\MarkHazleton\sandbox\GarageSpark\Services\ApiService.cs,35,GetWeatherAsync,"curl -H ""X-Correlation-ID: 67c37f46-5e24-4018-a71b-f55771252fac"" -H ""User-Agent: GarageSpark/1.0"" -H ""Accept: application/json"" -H ""Accept-Language: en-US"" ""https://api.openweathermap.org/data/2.5/weather?q=London&appid=demo&units=metric""",GET,https://api.openweathermap.org/data/2.5/weather?q=London&appid=demo&units=metric,07/12/2025 14:34:40
